,자치구명,행정동명,년도,인허가일자,폐업일자,영업상태코드,영업상태명,사업장명,X,Y,시설총규모,규모분기,총층수1,업소위치분기,영업기간,당월_매출_금액,당월_매출_건수,점포수,cluster_id,역이름,SX,SY,호선,distance,d_code
780,종로구,혜화동,2007,2007-12-10,2014-06-19,2,폐업,킷사차차,126.99440590000002,37.5842581,12.83,1,0.0,1,2383,206368601.0,17347.0,14.0,234.0,혜화역,127.00192460000001,37.5820259,04호선,0.7075,3
788,종로구,가회동,2008,2008-02-04,2020-12-31,1,영업,두루,126.9819499,37.58136891,48.78,5,1.0,1,4714,1081377468.0,68072.0,20.0,154.0,안국역,126.98541920000001,37.57649291,03호선,0.62244,3
795,종로구,삼청동,2008,2008-04-07,2016-02-18,2,폐업,(주)스타럭스 캐스카페 삼청점,126.97965570000001,37.57933864,157.44,10,1.0,1,2873,1081377468.0,68072.0,20.0,154.0,안국역,126.98541920000001,37.57649291,03호선,0.59841,3
796,종로구,삼청동,2008,2008-04-14,2020-12-31,1,영업,귀천,126.97839499999999,37.58130652,10.0,1,1.0,0,4644,1081377468.0,68072.0,20.0,154.0,안국역,126.98541920000001,37.57649291,03호선,0.8183199999999999,4
798,종로구,숭인제1동,2008,2008-04-29,2020-12-31,1,영업,이디야커피,127.01870659999999,37.57526208,42.53,5,1.0,1,4629,70522365.0,11180.0,3.0,64.0,동묘앞역,127.01634609999999,37.57321306,06호선,0.30851999999999996,2
802,종로구,평창동,2008,2008-05-09,2014-01-23,2,폐업,테이블88-2 아트샵,126.95582179999998,37.60760006,147.6,10,27.0,1,2085,62341706.0,6136.0,4.0,43.0,녹번역,126.93581440000001,37.60080316,03호선,1.91773,4
805,종로구,창신제1동,2008,2008-05-28,2020-12-31,1,영업,세리커피(Coffee),127.00960159999998,37.57095554,26.0,3,1.0,1,4600,152473261.0,43013.0,2.0,61.0,동대문역,127.010618,37.571664,04호선,0.11929000000000001,1
807,종로구,혜화동,2008,2008-05-29,2020-12-31,1,영업,스타벅스성대입구점,126.9954358,37.58301681,169.12,10,5.0,1,4599,206368601.0,17347.0,14.0,234.0,혜화역,127.00192460000001,37.5820259,04호선,0.58231,3
809,종로구,종로1.2.3.4가동,2008,2008-06-17,2020-12-31,1,영업,어메이징커피(AMAZINGCOFFEE),126.9769601,37.57045889,11.0,1,6.0,1,4580,152473261.0,43013.0,2.0,18.0,광화문역,126.9764096,37.5716441,05호선,0.14044,1
816,종로구,청운효자동,2008,2008-08-08,2014-07-09,2,폐업,커피공방,126.967673,37.57933236,18.0,2,14.0,1,2161,739202502.0,82121.0,16.0,10.0,경복궁역,126.97366869999999,37.5757881,03호선,0.6591600000000001,3
820,종로구,종로5.6가동,2008,2008-09-26,2020-12-31,1,영업,제일커피숍,127.0041024,37.57133128,63.0,6,13.0,1,4479,152473261.0,43013.0,2.0,207.0,종로5가역,127.0015395,37.57096169,01호선,0.22958,1
830,종로구,종로1.2.3.4가동,2009,2009-01-12,2015-10-06,2,폐업,Cafe-Carotte(카페카럿),126.9769601,37.57045889,13.69,1,1.0,1,2458,152473261.0,43013.0,2.0,18.0,광화문역,126.9764096,37.5716441,05호선,0.14044,1
